https://schema.org/identifier,http://xmlns.com/foaf/0.1/#name,name_yomi,http://xmlns.com/foaf/0.1/#based_near,https://schema.org/description,organization
1,丸田 之人,まるた ゆきと,北海道,室蘭市役所職員として、北海道を拠点にオープンデータ施策や活用を積極的に推進。また、シンクライアントシステムや庁内ネットワーク等の構築も実施。,室蘭市役所
2,山形 巧哉,やまがた たくや,北海道,北海道森町役場職員として、北海道を拠点にオープンデータ施策や活用を積極的に推進。また、パブリッククラウド活用、庁内ネットワークの構築等も実施。,北海道森町役場
3,藤井 靖史,ふじい やすし,東北,Code for AIZUを立ち上げ、会津若松市と連携してITを活用した地域課題の解決に貢献。,Code for AIZU
4,米田 剛,まいた つよし,東北,NPO法人地域情報化モデル研究会代表理事、（一社）観光・地域データ活用支援機構代表理事として、観光分野を中心にオープンデータの官民連携・広域連携活用について全国の自治体や企業等への活用支援活動を実施。,NPO法人地域情報化モデル研究会
5,太田垣 恭子,おおたがき きょうこ,関東,WEBシステム開発会社のCOOとして、データポータルサイトDKANの推進、経済産業省補助金申請システム、e-Stat（統計ポータル）、G空間情報センター等の開発を手がける。またCode for Kyotoの代表としても活動中。,ANNAI株式会社
6,川島 宏一,かわしま ひろいち,関東,全国の多くの自治体におけるオープンデータ政策の企画構想・立案・実施等を幅広く実施。,筑波大学
7,越塚 登,こしづか のぼる,関東,政府関係の施策の検討を積極的に推進するとともに、全国各地の交通分野のオープンデータ化を積極的に推進。,東京大学大学院
8,下山 紗代子,しもやま さよこ,関東,（一社）リンクデータ代表理事として、オープンデータ支援プラットフォームLinkData.orgの運営やオープンデータ活用コンテストLinked Open Data チャレンジ Japanの開催等、オープンデータの創出と活用を積極的に推進。,Code for YOKOHAMA
9,庄司 昌彦,しょうじ まさひこ,関東,（一社）オープン・ナレッジ・ファウンデーション・ジャパン（OKJP）の代表理事として、インターナショナルオープンデータデイの全国各地でのイベント開催を支援するなど、中央省庁・地方公共団体双方のオープンデータの取組推進に貢献。,OKJP
10,関 治之,せき はゆるき,関東,（一社）Code for Japan代表理事として、東日本大震災に対して「sinsai.info」を構築・提供するとともに、全国各地でオープンデータを活用したアイデアソン・ハッカソンの実行推進。,（一社）Code for Japan
11,東 修作,ひがし しゅうさく,関東,東日本大震災に際して位置情報付きの震災関連情報可視化のサイトushahidi（後のsinsai.info）を立ち上げ。また、オープンデータコンテスト等のイベント開催や講演等も積極的に実施。,OKJP
12,村上 文洋,むらかみ ふみひろ,関東,（一社）オープン＆ビッグデータ活用・地方創生推進機構（VLED）事務局の中心メンバーとして、地方公共団体によるオープンデータの取組を積極的に支援するとともに、推奨データセットの策定にも貢献。,VLED
13,渡辺 智暁,わたなべ ともあき,関東,クリエイティブ・コモンズ・ジャパンやオープン・ナレッジ・ファウンデーション・ジャパンの活動を通して、様々な領域のオープンデータ化の取り組みを支援・推進。,慶應義塾大学大学院
14,福島 健一郎,ふくしま けんいちろう,北陸,Code for Kanazawaの代表理事として、5374（ゴミナシ）.jpの開発・リリース。また、各地でのオープンデータ推進活動についても積極的に実施。,Code for Kanazawa
15,福野 泰介,ふくの たいすけ,北陸,福井県鯖江市におけるオープンデータの積極活用を中心的に支え、それらの事例展開を全国へ積極的に推進。,jig.jp
16,市川 博之,いちかわ ひろゆき,東海,（一社）Code for Japanのコンサルタントとして、市民団体・自治体とともにオープンデータの展開・教育、また、データアカデミー事業等を実施。,（一社）Code for Japan
17,浦田 真由,うらた まゆ,東海,愛知県尾三・尾東地区（7市町）をはじめ、県内の複数の自治体におけるオープンデータ推進を支援し、オープンデータを活用したアプリケーション開発及び実証実験を通じて、オープンデータに対する理解向上に貢献。,名古屋大学
18,新井 イスマイル,あらい いすまいる,近畿,「Night Street Advisor」をはじめ、オープンデータを活用した地域課題解決のアプリ等を制作・提供。,奈良先端科学技術大学院大学
19,松崎 太亮,まつざき たいすけ,近畿,日本初の行政職員・市民向け研修「データアカデミー」を主宰。実務者の立場から、オープンデータに貢献。,神戸市役所
20,大島 正美,おおしま まさみ,中国,オープンデータ活用推進を担う組織として、「地域に根付くオープンデータ活用」を目標に、「公共データサイエンテイスト」の育成、獲得や、データ利活用セミナー、ワークショップ等の開催等積極的に活動。,（一社）データクレイドル
21,野田 哲夫,のだ てつお,中国,「オープンデータによる経済効果推計の手法に関する考察」等、多数の情報化と経済成長・産業振興に関する研究・教育活動を実施。,島根大学
22,東 富彦,あずま とみひこ,九州,（公財）九州先端科学技術研究所のビッグデータ＆オープンデータ・イニシアティブ九州（BODIK）事業担当ディレクターとして、九州・山口地域の「オープンデータ空白地帯ゼロ」を目標に、オープンデータを積極的に推進。,（公財）九州先端科学技術研究所
23,牛島 清豪,うしじま せいごう,九州,「わいわいWi-Fiマップ」の企画・制作を通じた佐賀県内Wi-Fiスポットのオープンデータ化等、佐賀のオープンデータによる地域課題解決を推進。,Code for Saga